frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame0,0,32,1111_1111_1111_1111_1111_1111_1111_1111,383:352
frame1,1,32,1111_1111_1111_1111_1111_1111_1111_1111,351:320
frame2,2,32,1111_1111_1111_1111_1111_1111_1111_1111,319:288
frame3,3,32,1111_1111_1111_1111_1111_1111_1111_1111,287:256
frame4,4,32,1111_1111_1111_1111_1111_1111_1111_1111,255:224
frame5,5,32,1111_1111_1111_1111_1111_1111_1111_1111,223:192
frame6,6,32,1111_1111_1111_1111_1111_1111_1111_1111,191:160
frame7,7,32,1111_1111_1111_1111_1111_1111_1111_1111,159:128
frame8,8,32,1111_1111_1111_1111_1111_1111_1111_1111,127:96
frame9,9,32,1111_1111_1111_1111_1111_1111_1111_1111,95:64
frame10,10,32,1111_1111_1111_1111_1111_1111_1111_1111,63:32
frame11,11,32,1111_1111_1111_1111_1111_1111_1111_1111,31:0
frame12,12,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame13,13,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame14,14,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame15,15,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame16,16,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame17,17,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame18,18,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame19,19,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
